21.3	20.8	1
20.15	20.9	1
19.2	21.35	1
19.1	21.85	1
18.45	22.8	1
18.75	22.95	1
19.4	23	1
19.55	22.25	1
19.8	21.85	1
20.5	21.85	1
21.45	21.45	1
21.7	21.9	1
21.4	22.3	1
21	22.6	1
21.15	22.95	1
20.5	22.85	1
19.75	23.65	1
19.2	23.7	1
18.45	24.35	1
20.65	23.85	1
20.65	24.3	1
19.7	24.6	1
20.15	25.05	1
22.15	25.1	1
21.6	24.65	1
21.7	23.8	1
21.9	23.65	1
22.55	23.5	1
22.55	24.3	1
23.3	24.45	1
24.25	24.35	1
23.8	25.25	1
23.4	23.8	1
22.9	23.2	1
22.3	22.8	1
22.2	22.4	1
23.1	21.7	1
22.85	21.9	1
22.65	21.1	1
23.15	22.6	1
24.1	21.9	1
24.7	22.2	1
24.3	22.6	1
24.15	23.3	1
23.9	23.45	1
34.05	3.5	3
33.05	3.85	3
32	3.8	3
31.9	4.4	3
31.05	4.75	3
30.4	5.65	3
30.75	6.1	3
30	6.7	3
30.1	7.4	3
29.5	8.15	3
30.75	8	3
30.85	7.35	3
31.5	6.75	3
31.75	5.95	3
32.35	6.45	3
32.8	6	3
32.05	5.1	3
32.8	4.8	3
32.65	4.4	3
33.65	4.6	3
33.05	5.15	3
33.6	5.45	3
34.5	5.05	3
34.9	4.65	3
35.45	4.1	3
34.6	4.05	3
34.2	4.2	3
36.3	5.2	3
35.55	5.35	3
35.95	6.05	3
34.8	5.85	3
33.7	6.15	3
33.95	6.6	3
33.7	7.05	3
32.75	7.1	3
32.3	7.65	3
33	7.9	3
31.95	8.15	3
31.15	8.65	3
30.35	8.85	3
29.85	9	3
30.7	9.15	3
29.7	9.9	3
30.45	9.95	3
30.95	9.85	3
31.8	9.45	3
32.45	8.8	3
33.55	8.6	3
34.35	7.7	3
34.7	8	3
34.6	7.25	3
35	6.8	3
35.5	7.35	3
36.1	7.5	3
36.55	7	3
36	8.2	3
35.35	8.05	3
36.55	8.65	3
36.4	9.1	3
35.5	9.1	3
34.55	8.85	3
35.25	9.4	3
34.4	9.5	3
33.5	9.3	3
33.85	9.8	3
32.5	9.65	3
32.3	10.25	3
33.3	10.3	3
31.6	10.5	3
30.6	10.5	3
30.4	11.1	3
30.9	11.45	3
30.7	11.65	3
30.4	12.05	3
31.2	12	3
31.95	11.35	3
31.65	11.05	3
32.95	11.15	3
32.65	11.7	3
32.25	12.25	3
32.05	12.25	3
31.3	12.7	3
31.95	12.95	3
32.75	13.1	3
33.15	13.2	3
33.1	12.75	3
33.15	12.1	3
34.3	11.75	3
34	10.85	3
34.65	11	3
34.8	10.1	3
35.65	9.85	3
36.35	10	3
35.55	10.75	3
35.8	11.55	3
35.2	11.75	3
34.7	11.75	3
34.95	12.75	3
34.05	12.55	3
34.05	13.05	3
33.25	13.7	3
33.2	14.15	3
